-- SHOP

sid;nazwa;kierownik
680;20211225;1;56
680;20211225;1;41
680;20211225;1;100
680;20211225;1;11
681;20211225;1;34
681;20211225;1;29
681;20211225;1;62
681;20211225;1;15
681;20211225;1;40
681;20211225;1;26
681;20211225;1;20
681;20211225;1;2
681;20211225;1;86
681;20211225;1;82
681;20211225;1;61
682;20211225;2;12
683;20211225;4;21
683;20211225;4;57
683;20211225;4;35
683;20211225;4;97
683;20211225;4;23
683;20211225;4;78
683;20211225;4;40
683;20211225;4;10
683;20211225;4;11
684;20211225;1;54
684;20211225;1;62
684;20211225;1;20
684;20211225;1;27
684;20211225;1;41
684;20211225;1;72
684;20211225;1;58
685;20211225;3;29
685;20211225;3;15
685;20211225;3;20
685;20211225;3;38
685;20211225;3;18
685;20211225;3;12
686;20211225;3;4
686;20211225;3;39
687;20211225;1;20
688;20211225;4;64
688;20211225;4;62
688;20211225;4;63
688;20211225;4;56
688;20211225;4;12
689;20211225;1;64
689;20211225;1;34
689;20211225;1;62
689;20211225;1;65
689;20211225;1;35
689;20211225;1;15
689;20211225;1;26
689;20211225;1;86
689;20211225;1;23
689;20211225;1;28
689;20211225;1;40
689;20211225;1;63
689;20211225;1;71
689;20211225;1;12
690;20211225;1;7
690;20211225;1;92
691;20211225;1;41
692;20211225;1;25
692;20211225;1;21
692;20211225;1;64
692;20211225;1;62
692;20211225;1;7
692;20211225;1;15
692;20211225;1;3
692;20211225;1;26
692;20211225;1;2
692;20211225;1;76
692;20211225;1;23
692;20211225;1;30
693;20211225;1;29
693;20211225;1;16
693;20211225;1;17
693;20211225;1;100
694;20211225;1;40
694;20211225;1;30
694;20211225;1;67
694;20211225;1;61
695;20211225;1;21
695;20211225;1;40
695;20211225;1;1
695;20211225;1;29
695;20211225;1;62
695;20211225;1;31
695;20211225;1;27
695;20211225;1;118
696;20211225;4;15
696;20211225;4;84
696;20211225;4;56
696;20211225;4;30
696;20211225;4;18
696;20211225;4;58
696;20211225;4;11
697;20211225;2;76
697;20211225;2;23
698;20211225;3;25
698;20211225;3;1
698;20211225;3;34
698;20211225;3;23
699;20211225;3;21
699;20211225;3;23
699;20211225;3;82
700;20211224;1;21
700;20211224;1;43
700;20211224;1;1
700;20211224;1;34
700;20211224;1;29
700;20211224;1;7
700;20211224;1;15
700;20211224;1;20
700;20211224;1;2
700;20211224;1;70
700;20211224;1;41
700;20211224;1;46
701;20211224;1;64
701;20211224;1;62
701;20211224;1;15
701;20211224;1;41
702;20211224;2;18
703;20211224;1;41
703;20211224;1;10
704;20211224;1;29
704;20211224;1;20
705;20211224;2;26
705;20211224;2;27
705;20211224;2;12
706;20211224;3;57
706;20211224;3;64
707;20211224;1;63
707;20211224;1;12
708;20211224;3;31
708;20211224;3;22
708;20211224;3;26
708;20211224;3;2
708;20211224;3;12
709;20211224;2;64
709;20211224;2;36
709;20211224;2;37
710;20211224;2;57
710;20211224;2;29
710;20211224;2;20
710;20211224;2;27
710;20211224;2;32
710;20211224;2;42
710;20211224;2;30
710;20211224;2;56
710;20211224;2;11
711;20211224;2;13
712;20211224;1;60
712;20211224;1;15
712;20211224;1;104
712;20211224;1;23
712;20211224;1;13
712;20211224;1;18
713;20211224;4;115
713;20211224;4;91
714;20211224;1;62
714;20211224;1;50
714;20211224;1;26
714;20211224;1;23
714;20211224;1;12
714;20211224;1;40
714;20211224;1;58
715;20211224;1;40
715;20211224;1;48
715;20211224;1;84
715;20211224;1;30
715;20211224;1;37
715;20211224;1;11
716;20211224;1;40
716;20211224;1;35
716;20211224;1;75
717;20211224;3;37
718;20211224;1;35
718;20211224;1;15
718;20211224;1;4
718;20211224;1;23
718;20211224;1;28
718;20211224;1;61
719;20211224;4;40
719;20211224;4;57
719;20211224;4;15
719;20211224;4;16
719;20211224;4;28
719;20211224;4;116
719;20211224;4;63
719;20211224;4;93
719;20211224;4;11
720;20211224;3;35
720;20211224;3;39
721;20211224;1;34
721;20211224;1;15
722;20211224;1;15
722;20211224;1;55
722;20211224;1;11
723;20211224;1;64
723;20211224;1;48
723;20211224;1;29
723;20211224;1;70
723;20211224;1;10
724;20211224;2;21
724;20211224;2;60
724;20211224;2;23
724;20211224;2;30
724;20211224;2;71
725;20211224;1;15
725;20211224;1;23
725;20211224;1;56
726;20211224;4;23
726;20211224;4;30
727;20211224;3;1
727;20211224;3;34
727;20211224;3;44
727;20211224;3;35
728;20211224;3;15
728;20211224;3;2
728;20211224;3;56
728;20211224;3;40
728;20211224;3;30
728;20211224;3;12
729;20211224;4;70
729;20211224;4;30
729;20211224;4;63
730;20211224;2;34
730;20211224;2;35
730;20211224;2;15
730;20211224;2;26
730;20211224;2;45
730;20211224;2;86
730;20211224;2;80
730;20211224;2;24
730;20211224;2;16
731;20211224;1;2
731;20211224;1;70
731;20211224;1;11
732;20211224;3;30
733;20211224;2;71
734;20211224;1;15
734;20211224;1;31
734;20211224;1;41
734;20211224;1;32
734;20211224;1;12
734;20211224;1;40
734;20211224;1;39
734;20211224;1;11
735;20211224;4;62
735;20211224;4;20
736;20211224;1;30
736;20211224;1;37
736;20211224;1;12
737;20211224;2;31
737;20211224;2;102
737;20211224;2;38
737;20211224;2;40
737;20211224;2;37
737;20211224;2;39
737;20211224;2;87
738;20211224;4;40
738;20211224;4;30
738;20211224;4;18
738;20211224;4;63
738;20211224;4;61
739;20211224;1;7
739;20211224;1;83
740;20211224;4;34
740;20211224;4;62
740;20211224;4;16
740;20211224;4;76
740;20211224;4;40
740;20211224;4;66
741;20211224;1;43
741;20211224;1;64
741;20211224;1;60
741;20211224;1;26
741;20211224;1;20
741;20211224;1;56
741;20211224;1;13
741;20211224;1;70
741;20211224;1;40
742;20211224;1;57
742;20211224;1;1
742;20211224;1;84
742;20211224;1;28
742;20211224;1;30
742;20211224;1;63
742;20211224;1;37
742;20211224;1;8
743;20211224;2;27
743;20211224;2;23
743;20211224;2;30
743;20211224;2;39
743;20211224;2;55
744;20211224;1;21
744;20211224;1;23
744;20211224;1;30
745;20211224;2;21
745;20211224;2;1
745;20211224;2;15
745;20211224;2;26
745;20211224;2;23
745;20211224;2;40
745;20211224;2;30
745;20211224;2;61
746;20211224;2;62
746;20211224;2;15
746;20211224;2;40
746;20211224;2;26
746;20211224;2;41
746;20211224;2;97
746;20211224;2;12
747;20211224;2;15
747;20211224;2;41
748;20211224;1;25
748;20211224;1;62
748;20211224;1;35
748;20211224;1;26
748;20211224;1;23
748;20211224;1;70
749;20211224;4;30
749;20211224;4;12
750;20211224;1;30
750;20211224;1;63
751;20211224;2;25
751;20211224;2;53
752;20211224;2;29
752;20211224;2;15
752;20211224;2;20
752;20211224;2;92
752;20211224;2;47
752;20211224;2;11
753;20211224;1;37
754;20211224;1;25
754;20211224;1;57
754;20211224;1;13
754;20211224;1;113
754;20211224;1;30
755;20211224;2;25
755;20211224;2;48
755;20211224;2;15
755;20211224;2;40
755;20211224;2;31
755;20211224;2;32
755;20211224;2;52
755;20211224;2;42
755;20211224;2;41
755;20211224;2;89
756;20211224;1;25
756;20211224;1;23
757;20211224;2;11
758;20211224;1;97
758;20211224;1;11
759;20211224;1;34
759;20211224;1;11
760;20211224;1;64
760;20211224;1;60
760;20211224;1;29
760;20211224;1;15
760;20211224;1;26
760;20211224;1;23
760;20211224;1;11
760;20211224;1;83
761;20211224;2;82
761;20211224;2;83
762;20211224;1;109
762;20211224;1;87
763;20211224;1;1
763;20211224;1;61
763;20211224;1;12
764;20211224;1;50
764;20211224;1;65
764;20211224;1;63
765;20211224;2;15
765;20211224;2;70
765;20211224;2;47
765;20211224;2;59
766;20211224;1;94
767;20211224;1;48
768;20211224;2;35
768;20211224;2;15
768;20211224;2;13
768;20211224;2;67
769;20211224;3;15
769;20211224;3;23
769;20211224;3;12
770;20211224;3;57
770;20211224;3;34
770;20211224;3;60
770;20211224;3;86
770;20211224;3;30
770;20211224;3;61
770;20211224;3;12
771;20211224;2;34
771;20211224;2;60
771;20211224;2;29
771;20211224;2;35
771;20211224;2;15
771;20211224;2;40
771;20211224;2;3
771;20211224;2;26
771;20211224;2;20
771;20211224;2;76
771;20211224;2;70
772;20211224;2;40
772;20211224;2;57
772;20211224;2;1
772;20211224;2;35
772;20211224;2;20
772;20211224;2;13
772;20211224;2;67
772;20211224;2;83
773;20211224;3;35
773;20211224;3;67
774;20211224;1;21
774;20211224;1;40
774;20211224;1;93
775;20211224;2;15
775;20211224;2;20
775;20211224;2;46
776;20211224;1;23
776;20211224;1;12
777;20211224;1;10
778;20211224;1;76
778;20211224;1;11
779;20211224;1;31
779;20211224;1;20
779;20211224;1;56
779;20211224;1;32
779;20211224;1;39
779;20211224;1;11
780;20211224;2;15
780;20211224;2;4
780;20211224;2;11
781;20211224;2;50
781;20211224;2;15
781;20211224;2;3
781;20211224;2;56
781;20211224;2;23
781;20211224;2;13
781;20211224;2;12
781;20211224;2;40
782;20211224;2;69
782;20211224;2;21
782;20211224;2;2
782;20211224;2;13
782;20211224;2;18
783;20211224;2;75
783;20211224;2;74
783;20211224;2;8
784;20211224;2;34
784;20211224;2;62
784;20211224;2;35
784;20211224;2;56
784;20211224;2;13
784;20211224;2;28
784;20211224;2;113
784;20211224;2;30
784;20211224;2;18
784;20211224;2;96
785;20211224;2;35
785;20211224;2;15
785;20211224;2;26
786;20211224;1;56
787;20211224;4;76
788;20211224;2;34
788;20211224;2;42
788;20211224;2;73
789;20211224;2;25
789;20211224;2;1
789;20211224;2;15
789;20211224;2;26
789;20211224;2;2
789;20211224;2;68
789;20211224;2;70
789;20211224;2;18
790;20211224;1;40
790;20211224;1;52
790;20211224;1;101
790;20211224;1;108
790;20211224;1;91
791;20211224;1;35
791;20211224;1;22
791;20211224;1;97
791;20211224;1;71
792;20211224;4;34
792;20211224;4;70
792;20211224;4;37
792;20211224;4;56
793;20211224;3;84
793;20211224;3;75
793;20211224;3;30
793;20211224;3;82
793;20211224;3;12
794;20211224;4;64
795;20211224;2;31
795;20211224;2;26
795;20211224;2;80
795;20211224;2;41
795;20211224;2;113
796;20211224;2;1
796;20211224;2;35
796;20211224;2;15
796;20211224;2;3
796;20211224;2;26
796;20211224;2;16
796;20211224;2;18
796;20211224;2;63
796;20211224;2;71
797;20211224;2;26
797;20211224;2;28
797;20211224;2;63
797;20211224;2;39
798;20211224;1;63
798;20211224;1;49
798;20211224;1;93
799;20211224;1;60
800;20211223;3;57
800;20211223;3;35
800;20211223;3;30
801;20211223;1;21
801;20211223;1;1
801;20211223;1;29
801;20211223;1;35
801;20211223;1;15
801;20211223;1;26
801;20211223;1;20
801;20211223;1;41
801;20211223;1;16
801;20211223;1;56
801;20211223;1;70
802;20211223;4;25
802;20211223;4;40
802;20211223;4;57
802;20211223;4;34
802;20211223;4;62
802;20211223;4;35
802;20211223;4;26
802;20211223;4;84
802;20211223;4;103
802;20211223;4;28
803;20211223;1;25
803;20211223;1;50
803;20211223;1;40
803;20211223;1;104
803;20211223;1;23
803;20211223;1;12
803;20211223;1;63
804;20211223;1;44
804;20211223;1;62
804;20211223;1;3
804;20211223;1;26
804;20211223;1;56
804;20211223;1;12
805;20211223;4;25
805;20211223;4;15
805;20211223;4;12
805;20211223;4;47
806;20211223;1;15
806;20211223;1;11
807;20211223;3;56
807;20211223;3;10
807;20211223;3;94
808;20211223;3;7
808;20211223;3;3
808;20211223;3;103
808;20211223;3;42
808;20211223;3;30
808;20211223;3;72
808;20211223;3;56
808;20211223;3;91
808;20211223;3;12
809;20211223;2;1
809;20211223;2;35
809;20211223;2;15
809;20211223;2;31
809;20211223;2;26
809;20211223;2;20
809;20211223;2;41
809;20211223;2;70
809;20211223;2;116
809;20211223;2;42
810;20211223;1;41
810;20211223;1;38
810;20211223;1;88
811;20211223;1;21
811;20211223;1;31
811;20211223;1;4
811;20211223;1;56
811;20211223;1;55
811;20211223;1;111
811;20211223;1;47
811;20211223;1;85
811;20211223;1;90
811;20211223;1;83
811;20211223;1;12
812;20211223;2;1
812;20211223;2;50
813;20211223;4;35
813;20211223;4;20
813;20211223;4;102
814;20211223;2;76
815;20211223;2;57
815;20211223;2;64
815;20211223;2;76
815;20211223;2;23
815;20211223;2;11
816;20211223;1;57
816;20211223;1;34
816;20211223;1;35
816;20211223;1;26
816;20211223;1;78
816;20211223;1;32
816;20211223;1;38
816;20211223;1;105
817;20211223;4;50
817;20211223;4;56
817;20211223;4;30
817;20211223;4;10
818;20211223;1;34
818;20211223;1;44
818;20211223;1;60
818;20211223;1;62
818;20211223;1;65
818;20211223;1;26
818;20211223;1;46
818;20211223;1;111
818;20211223;1;83
818;20211223;1;12
819;20211223;2;20
819;20211223;2;41
819;20211223;2;40
819;20211223;2;37
819;20211223;2;12
820;20211223;1;29
820;20211223;1;62
820;20211223;1;35
820;20211223;1;40
820;20211223;1;86
820;20211223;1;56
820;20211223;1;23
820;20211223;1;18
820;20211223;1;109
820;20211223;1;10
821;20211223;1;23
821;20211223;1;8
822;20211223;1;76
822;20211223;1;8
823;20211223;2;12
823;20211223;2;18
823;20211223;2;58
824;20211223;1;15
824;20211223;1;40
824;20211223;1;52
824;20211223;1;39
825;20211223;4;15
826;20211223;3;1
826;20211223;3;29
826;20211223;3;22
826;20211223;3;26
827;20211223;1;64
827;20211223;1;60
827;20211223;1;62
827;20211223;1;50
827;20211223;1;35
827;20211223;1;119
827;20211223;1;45
827;20211223;1;2
827;20211223;1;86
827;20211223;1;56
827;20211223;1;23
828;20211223;2;57
828;20211223;2;1
828;20211223;2;60
828;20211223;2;62
828;20211223;2;15
828;20211223;2;83
829;20211223;1;15
829;20211223;1;52
830;20211223;3;56
831;20211223;1;15
831;20211223;1;13
832;20211223;1;21
832;20211223;1;62
832;20211223;1;56
832;20211223;1;87
833;20211223;1;60
833;20211223;1;79
833;20211223;1;30
833;20211223;1;72
834;20211223;4;28
835;20211223;4;62
835;20211223;4;35
835;20211223;4;41
835;20211223;4;52
835;20211223;4;42
835;20211223;4;38
835;20211223;4;71
835;20211223;4;83
836;20211223;1;84
836;20211223;1;40
837;20211223;1;50
838;20211223;1;64
838;20211223;1;40
838;20211223;1;39
838;20211223;1;82
838;20211223;1;12
839;20211223;2;57
839;20211223;2;15
839;20211223;2;23
839;20211223;2;63
840;20211223;2;37
840;20211223;2;82
840;20211223;2;77
840;20211223;2;12
841;20211223;2;26
841;20211223;2;38
842;20211223;2;26
842;20211223;2;20
842;20211223;2;32
842;20211223;2;38
842;20211223;2;41
842;20211223;2;46
842;20211223;2;73
842;20211223;2;30
842;20211223;2;18
842;20211223;2;56
842;20211223;2;10
842;20211223;2;61
842;20211223;2;11
843;20211223;1;44
843;20211223;1;31
843;20211223;1;3
843;20211223;1;26
843;20211223;1;82
843;20211223;1;9
843;20211223;1;11
843;20211223;1;12
844;20211223;2;54
844;20211223;2;40
844;20211223;2;62
844;20211223;2;15
844;20211223;2;42
845;20211223;4;12
845;20211223;4;39
845;20211223;4;63
846;20211223;2;40
847;20211223;1;63
847;20211223;1;49
848;20211223;2;21
848;20211223;2;15
848;20211223;2;20
848;20211223;2;52
848;20211223;2;17
848;20211223;2;18
849;20211223;2;12
850;20211223;3;57
850;20211223;3;65
850;20211223;3;35
850;20211223;3;26
850;20211223;3;56
850;20211223;3;9
850;20211223;3;58
851;20211223;1;25
851;20211223;1;35
851;20211223;1;68
851;20211223;1;67
852;20211223;1;76
853;20211223;1;62
853;20211223;1;35
853;20211223;1;80
853;20211223;1;38
853;20211223;1;37
854;20211223;4;21
854;20211223;4;34
854;20211223;4;60
854;20211223;4;35
854;20211223;4;104
854;20211223;4;4
854;20211223;4;56
854;20211223;4;13
854;20211223;4;71
854;20211223;4;11
855;20211223;3;62
856;20211223;1;113
857;20211223;3;34
857;20211223;3;15
857;20211223;3;13
857;20211223;3;28
857;20211223;3;39
857;20211223;3;63
858;20211223;3;60
858;20211223;3;26
858;20211223;3;84
858;20211223;3;45
858;20211223;3;23
858;20211223;3;18
858;20211223;3;77
858;20211223;3;51
858;20211223;3;11
858;20211223;3;12
859;20211223;1;15
859;20211223;1;70
860;20211223;3;25
860;20211223;3;15
860;20211223;3;26
860;20211223;3;56
860;20211223;3;28
860;20211223;3;38
860;20211223;3;18
860;20211223;3;37
860;20211223;3;12
861;20211223;1;3
861;20211223;1;40
861;20211223;1;30
862;20211223;2;12
863;20211223;4;40
863;20211223;4;23
863;20211223;4;75
864;20211223;1;57
864;20211223;1;76
864;20211223;1;30
864;20211223;1;55
865;20211223;4;15
865;20211223;4;23
865;20211223;4;102
865;20211223;4;79
865;20211223;4;63
866;20211223;1;28
867;20211223;1;97
867;20211223;1;37
867;20211223;1;93
868;20211223;3;30
868;20211223;3;39
869;20211223;1;15
869;20211223;1;16
870;20211223;3;20
871;20211223;1;25
871;20211223;1;44
871;20211223;1;62
871;20211223;1;31
871;20211223;1;26
871;20211223;1;84
871;20211223;1;13
871;20211223;1;70
871;20211223;1;100
871;20211223;1;72
871;20211223;1;87
872;20211223;1;60
872;20211223;1;35
872;20211223;1;15
872;20211223;1;40
872;20211223;1;120
872;20211223;1;11
873;20211223;2;21
873;20211223;2;60
873;20211223;2;40
873;20211223;2;31
873;20211223;2;26
873;20211223;2;20
873;20211223;2;27
873;20211223;2;84
873;20211223;2;2
873;20211223;2;104
873;20211223;2;23
873;20211223;2;70
873;20211223;2;56
874;20211223;2;1
874;20211223;2;13
874;20211223;2;49
874;20211223;2;9
874;20211223;2;12
875;20211223;1;43
875;20211223;1;40
875;20211223;1;26
875;20211223;1;86
875;20211223;1;76
875;20211223;1;56
875;20211223;1;39
875;20211223;1;18
876;20211223;4;67
877;20211223;1;64
878;20211223;1;64
878;20211223;1;34
878;20211223;1;44
878;20211223;1;60
878;20211223;1;62
878;20211223;1;104
878;20211223;1;23
878;20211223;1;13
878;20211223;1;70
878;20211223;1;52
878;20211223;1;73
878;20211223;1;30
878;20211223;1;39
879;20211223;3;35
879;20211223;3;15
879;20211223;3;26
879;20211223;3;68
879;20211223;3;73
879;20211223;3;63
879;20211223;3;8
880;20211223;1;25
880;20211223;1;21
880;20211223;1;43
880;20211223;1;35
880;20211223;1;56
880;20211223;1;23
880;20211223;1;70
880;20211223;1;8
880;20211223;1;9
880;20211223;1;105
881;20211223;3;101
882;20211223;1;21
882;20211223;1;35
882;20211223;1;15
882;20211223;1;2
882;20211223;1;13
882;20211223;1;46
882;20211223;1;92
882;20211223;1;96
883;20211223;2;40
883;20211223;2;30
883;20211223;2;18
883;20211223;2;8
883;20211223;2;67
883;20211223;2;77
884;20211223;1;68
885;20211223;4;40
885;20211223;4;30
886;20211223;3;40
886;20211223;3;30
886;20211223;3;67
887;20211223;4;25
887;20211223;4;34
887;20211223;4;3
887;20211223;4;70
887;20211223;4;32
887;20211223;4;38
887;20211223;4;41
887;20211223;4;99
887;20211223;4;96
888;20211223;3;20
888;20211223;3;27
888;20211223;3;33
889;20211223;3;25
889;20211223;3;1
890;20211223;4;40
890;20211223;4;35
890;20211223;4;39
890;20211223;4;82
891;20211223;2;1
891;20211223;2;15
891;20211223;2;40
891;20211223;2;3
891;20211223;2;84
891;20211223;2;91
891;20211223;2;12
892;20211223;3;76
892;20211223;3;12
892;20211223;3;72
893;20211223;2;82
894;20211223;2;25
894;20211223;2;65
894;20211223;2;26
894;20211223;2;84
894;20211223;2;103
894;20211223;2;16
894;20211223;2;38
894;20211223;2;40
894;20211223;2;30
894;20211223;2;71
894;20211223;2;111
894;20211223;2;47
894;20211223;2;83
895;20211223;2;57
896;20211223;1;84
896;20211223;1;116
896;20211223;1;72
896;20211223;1;56
897;20211223;3;84
897;20211223;3;56
897;20211223;3;28
897;20211223;3;12
897;20211223;3;30
897;20211223;3;37
897;20211223;3;33
897;20211223;3;11
898;20211223;1;1
898;20211223;1;40
898;20211223;1;84
898;20211223;1;38
898;20211223;1;63
899;20211223;1;21
899;20211223;1;48
899;20211223;1;34
899;20211223;1;50
899;20211223;1;35
899;20211223;1;40
899;20211223;1;26
899;20211223;1;13
899;20211223;1;28
899;20211223;1;38
899;20211223;1;73
900;20211222;3;25
900;20211222;3;62
900;20211222;3;35
900;20211222;3;56
900;20211222;3;23
900;20211222;3;70
900;20211222;3;95
900;20211222;3;36
900;20211222;3;40
901;20211222;1;1
901;20211222;1;26
901;20211222;1;84
901;20211222;1;41
901;20211222;1;87
901;20211222;1;90
901;20211222;1;12
902;20211222;1;43
902;20211222;1;15
902;20211222;1;104
902;20211222;1;13
902;20211222;1;78
902;20211222;1;40
902;20211222;1;30
902;20211222;1;18
902;20211222;1;53
902;20211222;1;67
902;20211222;1;12
903;20211222;1;40
903;20211222;1;37
904;20211222;2;53
904;20211222;2;77
905;20211222;1;34
905;20211222;1;44
905;20211222;1;35
905;20211222;1;41
905;20211222;1;30
905;20211222;1;63
906;20211222;2;25
906;20211222;2;21
906;20211222;2;84
906;20211222;2;4
906;20211222;2;5
906;20211222;2;56
906;20211222;2;23
906;20211222;2;70
906;20211222;2;89
906;20211222;2;12
907;20211222;2;48
907;20211222;2;1
907;20211222;2;7
907;20211222;2;23
907;20211222;2;116
907;20211222;2;82
908;20211222;1;30
908;20211222;1;77
909;20211222;3;21
909;20211222;3;62
909;20211222;3;23
909;20211222;3;40
909;20211222;3;39
909;20211222;3;91
910;20211222;3;93
911;20211222;2;84
911;20211222;2;100
912;20211222;1;28
913;20211222;1;78
914;20211222;1;15
914;20211222;1;30
914;20211222;1;39
914;20211222;1;12
915;20211222;3;73
915;20211222;3;87
915;20211222;3;12
916;20211222;2;1
916;20211222;2;35
916;20211222;2;40
916;20211222;2;30
916;20211222;2;63
916;20211222;2;37
916;20211222;2;72
916;20211222;2;56
916;20211222;2;111
917;20211222;3;54
917;20211222;3;35
917;20211222;3;7
917;20211222;3;41
917;20211222;3;38
917;20211222;3;40
917;20211222;3;71
918;20211222;4;23
919;20211222;1;62
919;20211222;1;20
919;20211222;1;75
919;20211222;1;18
919;20211222;1;71
920;20211222;1;34
920;20211222;1;35
920;20211222;1;15
920;20211222;1;31
920;20211222;1;20
920;20211222;1;63
921;20211222;4;28
921;20211222;4;42
921;20211222;4;41
921;20211222;4;30
921;20211222;4;63
922;20211222;1;12
923;20211222;1;60
923;20211222;1;28
923;20211222;1;63
923;20211222;1;39
924;20211222;4;43
924;20211222;4;34
924;20211222;4;41
924;20211222;4;104
924;20211222;4;13
924;20211222;4;77
925;20211222;2;62
926;20211222;1;76
926;20211222;1;39
926;20211222;1;37
926;20211222;1;61
926;20211222;1;12
927;20211222;1;34
927;20211222;1;35
927;20211222;1;40
927;20211222;1;63
927;20211222;1;61
928;20211222;1;69
928;20211222;1;35
928;20211222;1;30
928;20211222;1;18
929;20211222;2;3
930;20211222;4;109
931;20211222;1;35
931;20211222;1;26
931;20211222;1;42
931;20211222;1;51
932;20211222;2;39
933;20211222;1;35
934;20211222;1;39
935;20211222;4;3
935;20211222;4;26
935;20211222;4;84
935;20211222;4;30
935;20211222;4;37
936;20211222;1;25
936;20211222;1;34
936;20211222;1;41
936;20211222;1;23
936;20211222;1;18
936;20211222;1;112
936;20211222;1;11
937;20211222;3;21
937;20211222;3;1
937;20211222;3;44
937;20211222;3;26
937;20211222;3;27
937;20211222;3;2
937;20211222;3;41
937;20211222;3;40
937;20211222;3;30
937;20211222;3;55
938;20211222;1;21
938;20211222;1;26
938;20211222;1;70
938;20211222;1;38
938;20211222;1;30
938;20211222;1;63
938;20211222;1;91
939;20211222;1;44
939;20211222;1;35
939;20211222;1;40
939;20211222;1;26
939;20211222;1;20
939;20211222;1;28
939;20211222;1;70
939;20211222;1;18
939;20211222;1;47
940;20211222;3;43
940;20211222;3;48
940;20211222;3;50
940;20211222;3;35
940;20211222;3;104
940;20211222;3;16
940;20211222;3;56
940;20211222;3;23
940;20211222;3;13
940;20211222;3;12
941;20211222;2;26
941;20211222;2;11
942;20211222;4;1
942;20211222;4;60
942;20211222;4;31
942;20211222;4;40
942;20211222;4;72
943;20211222;4;35
943;20211222;4;41
944;20211222;1;57
944;20211222;1;4
944;20211222;1;97
944;20211222;1;12
945;20211222;3;43
945;20211222;3;60
945;20211222;3;80
945;20211222;3;76
945;20211222;3;19
945;20211222;3;13
945;20211222;3;42
946;20211222;1;70
947;20211222;3;1
947;20211222;3;40
947;20211222;3;93
947;20211222;3;94
948;20211222;4;94
949;20211222;2;3
949;20211222;2;13
950;20211222;2;1
950;20211222;2;34
950;20211222;2;44
950;20211222;2;8
951;20211222;1;30
952;20211222;1;67
953;20211222;1;62
953;20211222;1;2
953;20211222;1;30
953;20211222;1;63
954;20211222;1;57
954;20211222;1;35
955;20211222;3;25
955;20211222;3;15
955;20211222;3;84
955;20211222;3;18
956;20211222;1;34
956;20211222;1;35
956;20211222;1;30
956;20211222;1;77
956;20211222;1;12
957;20211222;1;21
957;20211222;1;54
957;20211222;1;35
957;20211222;1;28
957;20211222;1;101
957;20211222;1;40
957;20211222;1;37
957;20211222;1;33
957;20211222;1;12
958;20211222;1;57
958;20211222;1;34
958;20211222;1;35
958;20211222;1;3
958;20211222;1;26
958;20211222;1;102
958;20211222;1;32
958;20211222;1;52
958;20211222;1;12
958;20211222;1;40
958;20211222;1;30
958;20211222;1;18
958;20211222;1;37
958;20211222;1;71
959;20211222;2;21
959;20211222;2;1
959;20211222;2;44
959;20211222;2;103
959;20211222;2;28
959;20211222;2;12
960;20211222;1;60
960;20211222;1;56
961;20211222;1;60
961;20211222;1;70
961;20211222;1;71
961;20211222;1;12
962;20211222;2;35
962;20211222;2;26
962;20211222;2;104
962;20211222;2;114
962;20211222;2;40
962;20211222;2;110
963;20211222;4;83
964;20211222;2;40
964;20211222;2;83
965;20211222;1;84
965;20211222;1;30
965;20211222;1;87
965;20211222;1;61
966;20211222;3;40
966;20211222;3;30
966;20211222;3;67
966;20211222;3;82
966;20211222;3;77
967;20211222;4;23
967;20211222;4;101
967;20211222;4;37
968;20211222;3;82
969;20211222;1;64
969;20211222;1;35
969;20211222;1;22
969;20211222;1;26
969;20211222;1;20
969;20211222;1;41
969;20211222;1;13
969;20211222;1;18
969;20211222;1;63
969;20211222;1;56
970;20211222;1;34
970;20211222;1;52
970;20211222;1;40
971;20211222;2;64
971;20211222;2;62
971;20211222;2;35
971;20211222;2;40
971;20211222;2;26
971;20211222;2;23
971;20211222;2;32
972;20211222;1;23
972;20211222;1;39
973;20211222;3;29
973;20211222;3;62
973;20211222;3;20
973;20211222;3;102
973;20211222;3;63
974;20211222;2;21
974;20211222;2;48
974;20211222;2;15
974;20211222;2;23
974;20211222;2;42
974;20211222;2;92
974;20211222;2;108
974;20211222;2;10
975;20211222;1;40
975;20211222;1;57
975;20211222;1;64
975;20211222;1;15
975;20211222;1;31
975;20211222;1;20
976;20211222;1;21
976;20211222;1;1
976;20211222;1;15
976;20211222;1;41
976;20211222;1;104
976;20211222;1;16
976;20211222;1;23
976;20211222;1;70
976;20211222;1;18
976;20211222;1;67
977;20211222;3;12
978;20211222;3;37
979;20211222;4;30
979;20211222;4;37
980;20211222;3;26
980;20211222;3;84
980;20211222;3;23
981;20211222;3;23
981;20211222;3;93
981;20211222;3;11
982;20211222;3;23
982;20211222;3;12
983;20211222;3;15
983;20211222;3;28
984;20211222;1;1
984;20211222;1;34
984;20211222;1;60
984;20211222;1;15
984;20211222;1;28
984;20211222;1;70
985;20211222;1;28
985;20211222;1;56
986;20211222;4;34
986;20211222;4;35
986;20211222;4;20
986;20211222;4;84
986;20211222;4;16
986;20211222;4;42
986;20211222;4;38
986;20211222;4;18
986;20211222;4;112
987;20211222;4;12
988;20211222;2;43
988;20211222;2;23
988;20211222;2;63
988;20211222;2;67
989;20211222;4;35
989;20211222;4;31
989;20211222;4;26
989;20211222;4;92
989;20211222;4;40
990;20211222;3;21
990;20211222;3;15
990;20211222;3;31
990;20211222;3;22
